base_expression,choices,cont_tokens,example,full_prompt,gold,gold_index,input_tokens,instruction,metrics,num_asked_few_shots,num_effective_few_shots,padded,pred_logits,prediction_logits,predictions,sentence_cleaned,specifics,truncated,log_prob,oddballness,confidence
143,['New vehicle' 'New tire' 'New toy' 'none'],"[array([  3648,   7458, 128009, 128009, 128009])
 array([  3648,  28387, 128009, 128009, 128009])
 array([  3648,  22068, 128009, 128009, 128009])
 array([  6836, 128009, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: I got myself a new set of wheels  Question: What does "" the wheels"" stand for ? 
Your options are:['New vehicle', 'New tire', 'New toy', 'none']","The following are multiple choice questions.

Context: I got myself a new set of wheels  Question: What does "" the wheels"" stand for ? 
Your options are:['New vehicle', 'New tire', 'New toy', 'none']",[],[0],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   2751,   7182,    264,    502,    743,
           315,  23529,    220,  16225,     25,   3639,   1587,    330,
           279,  23529,      1,   2559,    369,    949,    720,   7927,
          2671,    527,  70387,   3648,   7458,    518,    364,   3648,
         28387,    518,    364,   3648,  22068,    518,    364,   6836,
           663,   3648, 128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   2751,   7182,    264,    502,    743,
           315,  23529,    220,  16225,     25,   3639,   1587,    330,
           279,  23529,      1,   2559,    369,    949,    720,   7927,
          2671,    527,  70387,   3648,   7458,    518,    364,   3648,
         28387,    518,    364,   3648,  22068,    518,    364,   6836,
           663,   3648, 128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   2751,   7182,    264,    502,    743,
           315,  23529,    220,  16225,     25,   3639,   1587,    330,
           279,  23529,      1,   2559,    369,    949,    720,   7927,
          2671,    527,  70387,   3648,   7458,    518,    364,   3648,
         28387,    518,    364,   3648,  22068,    518,    364,   6836,
           663,   3648, 128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   2751,   7182,    264,    502,    743,
           315,  23529,    220,  16225,     25,   3639,   1587,    330,
           279,  23529,      1,   2559,    369,    949,    720,   7927,
          2671,    527,  70387,   3648,   7458,    518,    364,   3648,
         28387,    518,    364,   3648,  22068,    518,    364,   6836,
           663, 128009, 128009, 128009, 128009])                       ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[3 3 3 4],[],[],"[array([-8.875,  0.   ]) array([-12.1875,   0.    ])
 array([-15.1875,   0.    ]) array([-10.5625,   0.    ])]","Context: I got myself a new set of wheels  Question: What does "" the wheels"" stand for ?",,[0 0 0 0],-4.305022153648592,0.36870530247688293,0.4241572916507721
367,"['Standing outside the the gate' 'Waiting outside the gate'
 'parked the vehicle outside the gate' 'none']","[array([ 94742,   4994,    279,    279,  18618, 128009, 128009, 128009,
        128009, 128009, 128009, 128009])
 array([ 43204,   4994,    279,  18618, 128009, 128009, 128009])
 array([ 29836,    291,    279,   7458,   4994,    279,  18618, 128009,
        128009, 128009, 128009, 128009])
 array([  6836, 128009, 128009, 128009, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: I am parked outside the gate  Question: What does the given sentence mean ? 
Your options are:['Standing outside the the gate', 'Waiting outside the gate', 'parked the vehicle outside the gate', 'none']","The following are multiple choice questions.

Context: I am parked outside the gate  Question: What does the given sentence mean ? 
Your options are:['Standing outside the the gate', 'Waiting outside the gate', 'parked the vehicle outside the gate', 'none']",[],[2],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   1097,  43335,   4994,    279,  18618,
           220,  16225,     25,   3639,   1587,    279,   2728,  11914,
          3152,    949,    720,   7927,   2671,    527,  70387,  94742,
          4994,    279,    279,  18618,    518,    364,  43204,   4994,
           279,  18618,    518,    364,  29836,    291,    279,   7458,
          4994,    279,  18618,    518,    364,   6836,    663,  94742,
          4994,    279,    279, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   1097,  43335,   4994,    279,  18618,
           220,  16225,     25,   3639,   1587,    279,   2728,  11914,
          3152,    949,    720,   7927,   2671,    527,  70387,  94742,
          4994,    279,    279,  18618,    518,    364,  43204,   4994,
           279,  18618,    518,    364,  29836,    291,    279,   7458,
          4994,    279,  18618,    518,    364,   6836,    663,  43204,
          4994,    279, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   1097,  43335,   4994,    279,  18618,
           220,  16225,     25,   3639,   1587,    279,   2728,  11914,
          3152,    949,    720,   7927,   2671,    527,  70387,  94742,
          4994,    279,    279,  18618,    518,    364,  43204,   4994,
           279,  18618,    518,    364,  29836,    291,    279,   7458,
          4994,    279,  18618,    518,    364,   6836,    663,  29836,
           291,    279,   7458,   4994,    279, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   1097,  43335,   4994,    279,  18618,
           220,  16225,     25,   3639,   1587,    279,   2728,  11914,
          3152,    949,    720,   7927,   2671,    527,  70387,  94742,
          4994,    279,    279,  18618,    518,    364,  43204,   4994,
           279,  18618,    518,    364,  29836,    291,    279,   7458,
          4994,    279,  18618,    518,    364,   6836,    663, 128009,
        128009, 128009, 128009])                                       ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 1}",0,0,[23  1 21  4],[],[],"[array([-16.375,   0.   ]) array([-14.,   0.]) array([-14.3125,   0.    ])
 array([-11.,   0.])]",Context: I am parked outside the gate  Question: What does the given sentence mean ?,,[0 0 0 0],-5.007047360434251,0.44955411553382874,0.3475763201713562
344,"[""The British Prime Minister's residence"" 'A numerical value'
 'A residential address' 'The tenth floor of a building']","[array([   791,   8013,  12801,   9675,    596,  22423, 128009, 128009,
        128009, 128009, 128009, 128009])
 array([    32,  35876,    907, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009])
 array([    32,  20658,   2686, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009])
 array([   791,  56766,   6558,    315,    264,   4857, 128009, 128009,
        128009, 128009, 128009, 128009])                               ]","The following are multiple choice questions.

Context: Number 10 announced a new policy today. Question: What does ""Number 10"" mean:? 
Your options are:[""The British Prime Minister's residence"", 'A numerical value', 'A residential address', 'The tenth floor of a building']","The following are multiple choice questions.

Context: Number 10 announced a new policy today. Question: What does ""Number 10"" mean:? 
Your options are:[""The British Prime Minister's residence"", 'A numerical value', 'A residential address', 'The tenth floor of a building']",[],[0],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5742,    220,    605,   7376,    264,    502,
          4947,   3432,     13,  16225,     25,   3639,   1587,    330,
          2903,    220,    605,      1,   3152,  77575,    720,   7927,
          2671,    527,  82362,    791,   8013,  12801,   9675,    596,
         22423,    498,    364,     32,  35876,    907,    518,    364,
            32,  20658,   2686,    518,    364,    791,  56766,   6558,
           315,    264,   4857,    663,    791,   8013,  12801,   9675,
           596, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5742,    220,    605,   7376,    264,    502,
          4947,   3432,     13,  16225,     25,   3639,   1587,    330,
          2903,    220,    605,      1,   3152,  77575,    720,   7927,
          2671,    527,  82362,    791,   8013,  12801,   9675,    596,
         22423,    498,    364,     32,  35876,    907,    518,    364,
            32,  20658,   2686,    518,    364,    791,  56766,   6558,
           315,    264,   4857,    663,     32,  35876, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5742,    220,    605,   7376,    264,    502,
          4947,   3432,     13,  16225,     25,   3639,   1587,    330,
          2903,    220,    605,      1,   3152,  77575,    720,   7927,
          2671,    527,  82362,    791,   8013,  12801,   9675,    596,
         22423,    498,    364,     32,  35876,    907,    518,    364,
            32,  20658,   2686,    518,    364,    791,  56766,   6558,
           315,    264,   4857,    663,     32,  20658, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5742,    220,    605,   7376,    264,    502,
          4947,   3432,     13,  16225,     25,   3639,   1587,    330,
          2903,    220,    605,      1,   3152,  77575,    720,   7927,
          2671,    527,  82362,    791,   8013,  12801,   9675,    596,
         22423,    498,    364,     32,  35876,    907,    518,    364,
            32,  20658,   2686,    518,    364,    791,  56766,   6558,
           315,    264,   4857,    663,    791,  56766,   6558,    315,
           264, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009, 128009, 128009, 128009, 128009, 128009, 128009,
        128009, 128009])                                               ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[17 20 20 17],[],[],"[array([-11.9375,   0.    ]) array([-13.25,   0.  ])
 array([-11.9375,   0.    ]) array([-18.25,   0.  ])]","Context: Number 10 announced a new policy today. Question: What does ""Number 10"" mean:?",,[0 0 0 0],-3.676340907734508,0.37922486662864685,0.4624714255332947
154,['Baby bed' 'Rocking chair' 'Infancy' 'Beginning'],"[array([ 60860,   4950, 128009, 128009, 128009])
 array([ 36152,    287,  10716, 128009, 128009])
 array([ 19998,   6709, 128009, 128009, 128009])
 array([ 76390, 128009, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: From the cradle  to the grave . Question: What does ""cradle"" mean:? 
Your options are:['Baby bed', 'Rocking chair', 'Infancy', 'Beginning']","The following are multiple choice questions.

Context: From the cradle  to the grave . Question: What does ""cradle"" mean:? 
Your options are:['Baby bed', 'Rocking chair', 'Infancy', 'Beginning']",[],[2],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5659,    279,   1589,  72455,    220,    311,
           279,  25165,    662,  16225,     25,   3639,   1587,    330,
          5192,  72455,      1,   3152,  77575,    720,   7927,   2671,
           527,  70387,  60860,   4950,    518,    364,  36152,    287,
         10716,    518,    364,  19998,   6709,    518,    364,  76390,
           663,  60860, 128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5659,    279,   1589,  72455,    220,    311,
           279,  25165,    662,  16225,     25,   3639,   1587,    330,
          5192,  72455,      1,   3152,  77575,    720,   7927,   2671,
           527,  70387,  60860,   4950,    518,    364,  36152,    287,
         10716,    518,    364,  19998,   6709,    518,    364,  76390,
           663,  36152,    287, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5659,    279,   1589,  72455,    220,    311,
           279,  25165,    662,  16225,     25,   3639,   1587,    330,
          5192,  72455,      1,   3152,  77575,    720,   7927,   2671,
           527,  70387,  60860,   4950,    518,    364,  36152,    287,
         10716,    518,    364,  19998,   6709,    518,    364,  76390,
           663,  19998, 128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   5659,    279,   1589,  72455,    220,    311,
           279,  25165,    662,  16225,     25,   3639,   1587,    330,
          5192,  72455,      1,   3152,  77575,    720,   7927,   2671,
           527,  70387,  60860,   4950,    518,    364,  36152,    287,
         10716,    518,    364,  19998,   6709,    518,    364,  76390,
           663, 128009, 128009, 128009, 128009])                       ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 0}",0,0,[3 2 3 4],[],[],"[array([-14.625,   0.   ]) array([-15.3125,   0.    ])
 array([-12.625,   0.   ]) array([-15.375,   0.   ])]","Context: From the cradle  to the grave . Question: What does ""cradle"" mean:?",,[0 0 0 0],-3.7175229444168507,0.30510643124580383,0.4966866075992584
401,['work done easily' 'morning' 'wakes up early' 'Evening'],"[array([  1816,   2884,   6847, 128009, 128009])
 array([ 57902,   1251, 128009, 128009, 128009])
 array([    86,   2094,    709,   4216, 128009, 128009, 128009])
 array([ 13461,    287, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: She is an early bird  Question: what does""early bird"" refer to ? 
Your options are:['work done easily', 'morning', 'wakes up early', 'Evening']","The following are multiple choice questions.

Context: She is an early bird  Question: what does""early bird"" refer to ? 
Your options are:['work done easily', 'morning', 'wakes up early', 'Evening']",[],[2],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,    374,    459,   4216,  12224,    220,
         16225,     25,   1148,   1587,      1,  22928,  12224,      1,
          8464,    311,    949,    720,   7927,   2671,    527,  70387,
          1816,   2884,   6847,    518,    364,  57902,   1251,    518,
           364,     86,   2094,    709,   4216,    518,    364,  13461,
           287,    663,   1816,   2884, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,    374,    459,   4216,  12224,    220,
         16225,     25,   1148,   1587,      1,  22928,  12224,      1,
          8464,    311,    949,    720,   7927,   2671,    527,  70387,
          1816,   2884,   6847,    518,    364,  57902,   1251,    518,
           364,     86,   2094,    709,   4216,    518,    364,  13461,
           287,    663,  57902, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,    374,    459,   4216,  12224,    220,
         16225,     25,   1148,   1587,      1,  22928,  12224,      1,
          8464,    311,    949,    720,   7927,   2671,    527,  70387,
          1816,   2884,   6847,    518,    364,  57902,   1251,    518,
           364,     86,   2094,    709,   4216,    518,    364,  13461,
           287,    663,     86,   2094,    709, 128009, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,    374,    459,   4216,  12224,    220,
         16225,     25,   1148,   1587,      1,  22928,  12224,      1,
          8464,    311,    949,    720,   7927,   2671,    527,  70387,
          1816,   2884,   6847,    518,    364,  57902,   1251,    518,
           364,     86,   2094,    709,   4216,    518,    364,  13461,
           287,    663,  13461, 128009, 128009])                       ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 0}",0,0,[1 2 6 2],[],[],"[array([-16.375,   0.   ]) array([-16.75,   0.  ])
 array([-14.6875,   0.    ]) array([-11.3125,   0.    ])]","Context: She is an early bird  Question: what does""early bird"" refer to ?",,[0 0 0 0],-4.743886467483309,0.39195239543914795,0.38531574606895447
336,"['Racing Car' 'any vehicle' 'Tire' ""Person's nickname""]","[array([    49,   4628,   3341, 128009, 128009, 128009, 128009])
 array([  3852,   7458, 128009, 128009, 128009, 128009, 128009])
 array([    51,    556, 128009, 128009, 128009, 128009, 128009])
 array([ 10909,    596,  30499, 128009, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: Wheels is really good when it comes to driving  Question: What does"" wheels"" refer to? 
Your options are:['Racing Car', 'any vehicle', 'Tire', ""Person's nickname""]","The following are multiple choice questions.

Context: Wheels is really good when it comes to driving  Question: What does"" wheels"" refer to? 
Your options are:['Racing Car', 'any vehicle', 'Tire', ""Person's nickname""]",[],[3],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  52549,    374,   2216,   1695,    994,    433,
          4131,    311,  10043,    220,  16225,     25,   3639,   1587,
             1,  23529,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,     49,   4628,   3341,    518,    364,
          3852,   7458,    518,    364,     51,    556,    518,    330,
         10909,    596,  30499,   1365,     49,   4628, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  52549,    374,   2216,   1695,    994,    433,
          4131,    311,  10043,    220,  16225,     25,   3639,   1587,
             1,  23529,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,     49,   4628,   3341,    518,    364,
          3852,   7458,    518,    364,     51,    556,    518,    330,
         10909,    596,  30499,   1365,   3852, 128009, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  52549,    374,   2216,   1695,    994,    433,
          4131,    311,  10043,    220,  16225,     25,   3639,   1587,
             1,  23529,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,     49,   4628,   3341,    518,    364,
          3852,   7458,    518,    364,     51,    556,    518,    330,
         10909,    596,  30499,   1365,     51, 128009, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  52549,    374,   2216,   1695,    994,    433,
          4131,    311,  10043,    220,  16225,     25,   3639,   1587,
             1,  23529,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,     49,   4628,   3341,    518,    364,
          3852,   7458,    518,    364,     51,    556,    518,    330,
         10909,    596,  30499,   1365,  10909,    596, 128009, 128009,
        128009, 128009, 128009])                                       ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 1}",0,0,[5 6 6 5],[],[],"[array([-10.75,   0.  ]) array([-13.3125,   0.    ])
 array([-10.1875,   0.    ]) array([-13.0625,   0.    ])]","Context: Wheels is really good when it comes to driving  Question: What does"" wheels"" refer to?",,[0 0 0 0],-5.044168363547041,0.4037993252277374,0.46057939529418945
41,['Emoji' 'Satisfaction' 'expression' 'none'],"[array([ 93831, 128009, 128009, 128009])
 array([    50,  52370, 128009, 128009])
 array([ 29199, 128009, 128009, 128009])
 array([  6836, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: I'd give it a thumbs up Question: What does "" thumbs up"" refer to? 
Your options are:['Emoji', 'Satisfaction', 'expression', 'none']","The following are multiple choice questions.

Context: I'd give it a thumbs up Question: What does "" thumbs up"" refer to? 
Your options are:['Emoji', 'Satisfaction', 'expression', 'none']",[],[1],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   4265,   3041,    433,    264,  57949,
           709,  16225,     25,   3639,   1587,    330,  57949,    709,
             1,   8464,    311,     30,    720,   7927,   2671,    527,
         70387,  93831,    518,    364,     50,  52370,    518,    364,
         29199,    518,    364,   6836,    663, 128009, 128009, 128009,
        128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   4265,   3041,    433,    264,  57949,
           709,  16225,     25,   3639,   1587,    330,  57949,    709,
             1,   8464,    311,     30,    720,   7927,   2671,    527,
         70387,  93831,    518,    364,     50,  52370,    518,    364,
         29199,    518,    364,   6836,    663,     50, 128009, 128009,
        128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   4265,   3041,    433,    264,  57949,
           709,  16225,     25,   3639,   1587,    330,  57949,    709,
             1,   8464,    311,     30,    720,   7927,   2671,    527,
         70387,  93831,    518,    364,     50,  52370,    518,    364,
         29199,    518,    364,   6836,    663, 128009, 128009, 128009,
        128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,    358,   4265,   3041,    433,    264,  57949,
           709,  16225,     25,   3639,   1587,    330,  57949,    709,
             1,   8464,    311,     30,    720,   7927,   2671,    527,
         70387,  93831,    518,    364,     50,  52370,    518,    364,
         29199,    518,    364,   6836,    663, 128009, 128009, 128009,
        128009])                                                       ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 1}",0,0,[4 3 4 4],[],[],"[array([-14.9375,   0.    ]) array([-11.125,   0.   ])
 array([-15.875,   0.   ]) array([-11.25,   0.  ])]","Context: I'd give it a thumbs up Question: What does "" thumbs up"" refer to?",,[0 0 0 0],-4.116469016592753,0.3436819612979889,0.47062036395072937
446,['vegetable' 'blush' 'redness/ tanning' 'sweat'],"[array([ 83571,    481, 128009, 128009, 128009, 128009, 128009])
 array([  2067,   1136, 128009, 128009, 128009, 128009, 128009])
 array([  1171,   2136,     14,    259,   6073, 128009, 128009])
 array([    82,    906,    266, 128009, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: She looked like a tomato in the sun Question: What does "" like a tomato"" refer to? 
Your options are:['vegetable', 'blush', 'redness/ tanning', 'sweat']","The following are multiple choice questions.

Context: She looked like a tomato in the sun Question: What does "" like a tomato"" refer to? 
Your options are:['vegetable', 'blush', 'redness/ tanning', 'sweat']",[],[2],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,   7111,   1093,    264,  42120,    304,
           279,   7160,  16225,     25,   3639,   1587,    330,   1093,
           264,  42120,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,  83571,    481,    518,    364,   2067,
          1136,    518,    364,   1171,   2136,     14,    259,   6073,
           518,    364,     82,    906,    266,    663,  83571, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,   7111,   1093,    264,  42120,    304,
           279,   7160,  16225,     25,   3639,   1587,    330,   1093,
           264,  42120,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,  83571,    481,    518,    364,   2067,
          1136,    518,    364,   1171,   2136,     14,    259,   6073,
           518,    364,     82,    906,    266,    663,   2067, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,   7111,   1093,    264,  42120,    304,
           279,   7160,  16225,     25,   3639,   1587,    330,   1093,
           264,  42120,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,  83571,    481,    518,    364,   2067,
          1136,    518,    364,   1171,   2136,     14,    259,   6073,
           518,    364,     82,    906,    266,    663,   1171,   2136,
            14,    259, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   3005,   7111,   1093,    264,  42120,    304,
           279,   7160,  16225,     25,   3639,   1587,    330,   1093,
           264,  42120,      1,   8464,    311,     30,    720,   7927,
          2671,    527,  70387,  83571,    481,    518,    364,   2067,
          1136,    518,    364,   1171,   2136,     14,    259,   6073,
           518,    364,     82,    906,    266,    663,     82,    906,
        128009, 128009, 128009])                                       ]",The following are multiple choice questions.,"{'acc': 0, 'acc_norm': 1}",0,0,[4 4 1 3],[],[],"[array([-17.5,   0. ]) array([-14.625,   0.   ]) array([-19.25,   0.  ])
 array([-12.0625,   0.    ])]","Context: She looked like a tomato in the sun Question: What does "" like a tomato"" refer to?",,[0 0 0 0],-4.478501839651948,0.4006553590297699,0.4656585156917572
269,['Money' 'Love' 'passion' 'home'],"[array([ 25821, 128009, 128009, 128009])
 array([ 29351, 128009, 128009, 128009])
 array([  6519,    290, 128009, 128009])
 array([  5227, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: Liya offered her heart to him Question: What does "" heart"" refer to:? 
Your options are:['Money', 'Love', 'passion', 'home']","The following are multiple choice questions.

Context: Liya offered her heart to him Question: What does "" heart"" refer to:? 
Your options are:['Money', 'Love', 'passion', 'home']",[],[1],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  14851,   7911,   9076,   1077,   4851,    311,
          1461,  16225,     25,   3639,   1587,    330,   4851,      1,
          8464,    311,  77575,    720,   7927,   2671,    527,  70387,
         25821,    518,    364,  29351,    518,    364,   6519,    290,
           518,    364,   5227,    663, 128009, 128009, 128009, 128009,
        128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  14851,   7911,   9076,   1077,   4851,    311,
          1461,  16225,     25,   3639,   1587,    330,   4851,      1,
          8464,    311,  77575,    720,   7927,   2671,    527,  70387,
         25821,    518,    364,  29351,    518,    364,   6519,    290,
           518,    364,   5227,    663, 128009, 128009, 128009, 128009,
        128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  14851,   7911,   9076,   1077,   4851,    311,
          1461,  16225,     25,   3639,   1587,    330,   4851,      1,
          8464,    311,  77575,    720,   7927,   2671,    527,  70387,
         25821,    518,    364,  29351,    518,    364,   6519,    290,
           518,    364,   5227,    663,   6519, 128009, 128009, 128009,
        128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,  14851,   7911,   9076,   1077,   4851,    311,
          1461,  16225,     25,   3639,   1587,    330,   4851,      1,
          8464,    311,  77575,    720,   7927,   2671,    527,  70387,
         25821,    518,    364,  29351,    518,    364,   6519,    290,
           518,    364,   5227,    663, 128009, 128009, 128009, 128009,
        128009])                                                       ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 0}",0,0,[5 5 4 5],[],[],"[array([-13.0625,   0.    ]) array([-10.6875,   0.    ])
 array([-14.125,   0.   ]) array([-15.125,   0.   ])]","Context: Liya offered her heart to him Question: What does "" heart"" refer to:?",,[0 0 0 0],-5.049661462505658,0.39951440691947937,0.3791573941707611
361,['A hitman' 'A kind of firearm' 'Conflict resolution expert.' 'None'],"[array([    32,   4295,   1543, 128009, 128009, 128009, 128009])
 array([    32,   3169,    315,  36705, 128009, 128009, 128009])
 array([ 59074,  11175,   6335,     13, 128009, 128009, 128009])
 array([  4155, 128009, 128009, 128009, 128009])]","The following are multiple choice questions.

Context: He sent a hired gun after them all. Question: What does ""gun"" mean:? 
Your options are:['A hitman', 'A kind of firearm', 'Conflict resolution expert.', 'None']","The following are multiple choice questions.

Context: He sent a hired gun after them all. Question: What does ""gun"" mean:? 
Your options are:['A hitman', 'A kind of firearm', 'Conflict resolution expert.', 'None']",[],[0],"[array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   1283,   3288,    264,  22163,   6166,   1306,
          1124,    682,     13,  16225,     25,   3639,   1587,    330,
         13562,      1,   3152,  77575,    720,   7927,   2671,    527,
         70387,     32,   4295,   1543,    518,    364,     32,   3169,
           315,  36705,    518,    364,  59074,  11175,   6335,  16045,
           364,   4155,    663,     32,   4295, 128009, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   1283,   3288,    264,  22163,   6166,   1306,
          1124,    682,     13,  16225,     25,   3639,   1587,    330,
         13562,      1,   3152,  77575,    720,   7927,   2671,    527,
         70387,     32,   4295,   1543,    518,    364,     32,   3169,
           315,  36705,    518,    364,  59074,  11175,   6335,  16045,
           364,   4155,    663,     32,   3169,    315, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   1283,   3288,    264,  22163,   6166,   1306,
          1124,    682,     13,  16225,     25,   3639,   1587,    330,
         13562,      1,   3152,  77575,    720,   7927,   2671,    527,
         70387,     32,   4295,   1543,    518,    364,     32,   3169,
           315,  36705,    518,    364,  59074,  11175,   6335,  16045,
           364,   4155,    663,  59074,  11175,   6335, 128009, 128009,
        128009, 128009, 128009])
 array([128000,    791,   2768,    527,   5361,   5873,   4860,    382,
          2014,     25,   1283,   3288,    264,  22163,   6166,   1306,
          1124,    682,     13,  16225,     25,   3639,   1587,    330,
         13562,      1,   3152,  77575,    720,   7927,   2671,    527,
         70387,     32,   4295,   1543,    518,    364,     32,   3169,
           315,  36705,    518,    364,  59074,  11175,   6335,  16045,
           364,   4155,    663, 128009, 128009])                       ]",The following are multiple choice questions.,"{'acc': 1, 'acc_norm': 0}",0,0,[6 5 5 2],[],[],"[array([-8.625,  0.   ]) array([-14.375,   0.   ]) array([-17.,   0.])
 array([-8.6875,  0.    ])]","Context: He sent a hired gun after them all. Question: What does ""gun"" mean:?",,[0 0 0 0],-4.7633139024439615,0.4404679238796234,0.36553117632865906
